candidate,reference,label,metric,delta_mean,delta_ci_low,delta_ci_high,confidence_level,valid_replicates,interpretation
image_plus_masks,original,Cardiomegaly,auprc,0.029876965860931283,-0.05784736927590553,0.11865824237773326,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Effusion,auprc,0.015253556261145251,-0.018288589624696504,0.04777330649941452,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Infiltration,auprc,0.00885467344378118,-0.010603046282258484,0.028904856792451562,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Mass,auprc,0.005915907533974936,-0.03207731573898716,0.04528109366812323,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Nodule,auprc,-0.029060421757505023,-0.07231038145209556,0.012079825270869432,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Pneumonia,auprc,0.01143774870264826,-0.007290844818648461,0.03131234521083741,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Pneumothorax,auprc,0.014081006061336315,-0.03516831291851784,0.06266174076590293,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Consolidation,auprc,-0.007661718160218984,-0.04419498262502401,0.02943879859593248,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Edema,auprc,-0.05219660414336115,-0.1253412047962804,0.00043092295470311786,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Emphysema,auprc,0.046164455878773124,-0.007270907135772962,0.09963548779130406,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Fibrosis,auprc,-0.013361684095637004,-0.04458568963205787,0.002678945546079017,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Pleural_Thickening,auprc,0.026156318870514554,-0.011120995158451299,0.0723596455211993,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Hernia,auprc,0.06775725594274173,-0.027406474133418724,0.2582188991348085,0.95,1993,NO_CLEAR_DIFFERENCE
image_plus_masks,original,ALL_LABELS,macro_auprc,0.008961121731557721,-0.005803732068695317,0.027119919364855978,0.95,2000,NO_CLEAR_DIFFERENCE
image_plus_masks,original,Atelectasis,auroc,0.010676126537215669,-0.008040549842697132,0.028800134427784112,0.95,2000,NO_CLEAR_DIFFERENCE
