scope,label,metric,confidence_level,densenet_ci_low,densenet_ci_high,rad_dino_ci_low,rad_dino_ci_high,delta_ci_low,delta_ci_high,densenet_valid_replicates,rad_dino_valid_replicates,delta_valid_replicates,interpretation
label,Cardiomegaly,auprc,0.95,0.2983150678914565,0.3950412621063844,0.29426874307929407,0.3872426901598927,-0.025917124693916264,0.013625644165671637,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Effusion,auprc,0.95,0.4751810156470741,0.5276686108032149,0.44406044107643994,0.49987022330688313,-0.04218093997057274,-0.013849198851262038,1000,1000,1000,DENSENET_HIGHER
label,Infiltration,auprc,0.95,0.3750664486792509,0.41309093870333813,0.3677079466310132,0.4059512111587433,-0.017794819567453334,0.001678593612776688,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Mass,auprc,0.95,0.2561761782717459,0.3284868329145955,0.2732741355011559,0.3447222210267174,-0.002850435077963585,0.03709961155100484,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Nodule,auprc,0.95,0.18709464880990778,0.25821526026252356,0.17464284063429222,0.23600813740644316,-0.034579144602721885,-0.0010093223328525743,1000,1000,1000,DENSENET_HIGHER
label,Pneumonia,auprc,0.95,0.03949556561243992,0.05646276254432138,0.03983089336902794,0.0592933563493691,-0.006733211476303957,0.009958139940767106,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pneumothorax,auprc,0.95,0.3658290526058704,0.4352201116224074,0.40261693793038444,0.48662708668576315,0.02018599988120105,0.0760663722813837,1000,1000,1000,RAD_DINO_HIGHER
label,Consolidation,auprc,0.95,0.13757323687647985,0.17262083168396208,0.13633260895510346,0.17565567348163255,-0.01185384923307861,0.01550899636887829,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Edema,auprc,0.95,0.12633149787826492,0.18454793409060363,0.14924534312795276,0.21261951679359642,0.004763402564427224,0.04543347855033824,1000,1000,1000,RAD_DINO_HIGHER
label,Emphysema,auprc,0.95,0.32336138418749505,0.43670115371094825,0.1932355169458824,0.27412979683480143,-0.1977203894745722,-0.098465547025307,1000,1000,1000,DENSENET_HIGHER
label,Fibrosis,auprc,0.95,0.07439839828529292,0.12982922051900544,0.09044818117365623,0.16144486084995593,-0.00010380434265631464,0.051681541538598476,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pleural_Thickening,auprc,0.95,0.10708091467807956,0.14781798925770717,0.12395633479801298,0.16928298443496534,0.005921686305491828,0.03528147058427449,1000,1000,1000,RAD_DINO_HIGHER
label,Hernia,auprc,0.95,0.11674270905950984,0.4737941864811602,0.18834841977081038,0.473019339652893,-0.09702836970475981,0.17390933366318156,1000,1000,1000,NO_CLEAR_DIFFERENCE
macro,ALL_LABELS,auprc,0.95,0.2531787386980221,0.283670470371247,0.2520586014154456,0.27791430820291313,-0.014286225571734283,0.008951233006492245,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Atelectasis,f1,0.95,0.363582696145428,0.40603412697268054,0.357582085376657,0.4024258447144476,-0.017944056896041463,0.008423583727654482,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Cardiomegaly,f1,0.95,0.3509461936406163,0.44083860894235233,0.3511518978435994,0.44415468943424813,-0.021308787859849087,0.022516951336129725,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Effusion,f1,0.95,0.49790549153728253,0.5446141091744333,0.4838730315666915,0.5304828221327837,-0.025620795012495586,-0.0035470894905002856,1000,1000,1000,DENSENET_HIGHER
label,Infiltration,f1,0.95,0.44940601124968715,0.4807193301002461,0.4458736972373945,0.478503145842616,-0.008800065838466018,0.003407898320150402,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Mass,f1,0.95,0.3111811193376532,0.3892722317637318,0.3375707657882558,0.406187073983501,-0.0027032510386017627,0.04333542738062543,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Nodule,f1,0.95,0.24076931753305564,0.31181007794513577,0.22585051205706955,0.29210149595792967,-0.042903867523414956,0.007305227556713563,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pneumonia,f1,0.95,0.07265568033419664,0.09657132182536819,0.07351834193957563,0.10160356117156309,-0.007370791496205909,0.013468261211971784,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Pneumothorax,f1,0.95,0.4263324793548311,0.4883522604624677,0.47734364436038285,0.5381429547706841,0.02358675792247779,0.08088560733412441,1000,1000,1000,RAD_DINO_HIGHER
label,Consolidation,f1,0.95,0.21441773622401292,0.25743910007757953,0.21198327614809492,0.2532595630072262,-0.019011800832765782,0.012985460356942605,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Edema,f1,0.95,0.19887016226792692,0.2601906529800704,0.2260534068569667,0.28893512004221267,0.007867076411738285,0.046922423029676634,1000,1000,1000,RAD_DINO_HIGHER
label,Emphysema,f1,0.95,0.3937384206488686,0.47757851526144846,0.24661308076299057,0.31139934930423663,-0.19156777498142796,-0.12310667067608477,1000,1000,1000,DENSENET_HIGHER
label,Fibrosis,f1,0.95,0.14184764556467372,0.206979960543063,0.057331747870805146,0.16393701194601024,-0.11512593152711,-0.009647745368555477,1000,1000,1000,DENSENET_HIGHER
label,Pleural_Thickening,f1,0.95,0.17606340789856711,0.2260017988827123,0.18818039573259712,0.24397167240345813,-0.0018220136194234068,0.03326215215715826,1000,1000,1000,NO_CLEAR_DIFFERENCE
label,Hernia,f1,0.95,0.08845709888418626,0.4461764705882353,0.28035373329313634,0.5522449905170281,-0.005444547078841018,0.3322598836875608,1000,1000,1000,NO_CLEAR_DIFFERENCE
