epoch,phase,train_steps,train_samples,train_loss,validation_macro_auprc,validation_macro_auroc,validation_macro_f1,train_seconds,validation_seconds,epoch_seconds,peak_gpu_memory_gib,learning_rates
23,full_finetune,112,3584,1.0107167618615287,0.14944440833935024,0.7697499732849697,0.17866161675459932,104.85049149999395,15.413255000021309,120.45743450004375,2.1468114852905273,"[3e-05, 0.0003]"
24,full_finetune,112,3584,0.9792295188776085,0.15268619895886718,0.7728956783796652,0.1837142232176146,112.73645339999348,15.886013800045475,128.78142660000594,2.1468114852905273,"[3e-05, 0.0003]"
25,full_finetune,112,3584,0.9961173901600497,0.15580327968994293,0.7758148308280024,0.18409456657435666,106.50782250001794,10.496209000004455,117.11342350003542,2.1468114852905273,"[3e-05, 0.0003]"
26,full_finetune,112,3584,0.9922555014491081,0.15825398381853342,0.7785139832160953,0.18356140244615277,103.76042160001816,10.309469000028912,114.15095869998913,2.1468114852905273,"[3e-05, 0.0003]"
27,full_finetune,112,3584,0.9721851513854095,0.16061643624802588,0.7808046600360316,0.18560727274388739,103.89838040003087,10.590703699970618,114.56659519998357,2.1468114852905273,"[3e-05, 0.0003]"
28,full_finetune,112,3584,0.9917314989226205,0.16322423053204269,0.7832866544998656,0.184741543213701,103.9571086000069,10.28376640001079,114.32373450003797,2.1468114852905273,"[3e-05, 0.0003]"
29,full_finetune,112,3584,0.9676744214126042,0.1660307472422259,0.785305411576142,0.18739738598778558,104.30833169998368,10.585240499989595,114.97700770001393,2.1468114852905273,"[3e-05, 0.0003]"
30,full_finetune,112,3584,0.9849424484585013,0.16873353765300836,0.7867970657485498,0.18738938535718802,103.876272399968,10.51948789996095,114.47714709996944,2.1468114852905273,"[3e-05, 0.0003]"
31,full_finetune,112,3584,0.9662099459341594,0.17057705984975,0.7885872646181272,0.18963609651082722,104.20717010000953,10.544511599990074,114.83226940000895,2.1468114852905273,"[3e-05, 0.0003]"
32,full_finetune,112,3584,0.996304881892034,0.17219941953417522,0.7904986029358027,0.19204907414530337,103.94015619996935,10.448866899998393,114.46998720004922,2.1468114852905273,"[3e-05, 0.0003]"
