"Path","Category","Bytes","SHA256","Tracked","ModifiedUtc"
"docs/training/STAGE6_NIH_DENSENET121.md","KEEP_TRACKED","1338","9397020DD6FE5069CD863E3C1150802697B152657361E6CCC9C41F5D2D39DD86","True","2026-08-04T06:07:31.7496558Z"
"docs/training/STAGE7C_RAD_DINO_PROBES.md","KEEP_TRACKED","1653","CCED2A6691B48000955BF5C258F6DE12E6E34FC3402823117233BC2508E7D266","True","2026-08-04T16:06:47.9242636Z"
"docs/training/STAGE8A_CHEXMASK_READINESS.md","KEEP_TRACKED","1550","4975E761DDBF5B903B6370CE4C5B0B2E0319C3E51BEEA0229D02E867A79344F3","True","2026-08-04T20:42:29.4143093Z"
"docs/training/STAGE8B_CHEXMASK_UNET.md","KEEP_TRACKED","781","32E621B21301138912D280B1F62747F4262FA8C4996E8A236F01A69F70371851","True","2026-08-04T20:56:18.9809357Z"
"docs/training/STAGE8C_CHEXMASK_COVERAGE_CONTINUATION.md","KEEP_TRACKED","879","F3C0C02B2D50A51EBF38EC08FC5B83AE8DFD24ADAE5BCF8D4C8FA54BB3DF6035","True","2026-08-05T09:01:08.0848831Z"
"pyproject.toml","KEEP_TRACKED","983","A327DF13CF24F9D40192F20E5A958FBCC6408D258D3C0B3B037E1D1FDEBCBF5E","True","2026-08-03T10:54:55.1298646Z"
"README.md","KEEP_TRACKED","1013","1CCFA31473D151B46114A8067697E5F0E3B17F044BBB118736A38AFF91F15EB2","True","2026-08-03T10:44:09.0616039Z"
"reports/stage2/environment_validation.json","KEEP_TRACKED","1005","E50CCDEB813CFC322C247C16DAF19A6E7EDD5AE4D80A1711EB251C37092E25A0","True","2026-08-03T11:18:26.4021173Z"
"reports/stage3/DATASET_AUDIT.md","KEEP_TRACKED","1644","3469A8F3FBF12BEA7896EDC6F3D89B77A964716724E2907523BB15DBDEDE7CFF","True","2026-08-03T11:32:03.9623194Z"
"reports/stage3/dataset_inventory.csv","KEEP_TRACKED","1103","4A6BC00472AB453C3DD6976F0DC958D55202102E50FD1936EA15A65DBC5C9740","True","2026-08-03T11:32:03.9623194Z"
"reports/stage3/dataset_registry.json","KEEP_TRACKED","9140","BB25F007DA914D134656B7538B0381E0F573D55619C78B7E358BDF87D139E4B1","True","2026-08-03T11:32:03.9623194Z"
"reports/stage3/integrity_summary.json","KEEP_TRACKED","9621","2BECACF8E99E25E78F790B1BFA3D68E76DAE52564C683E83804A9941BAB16401","True","2026-08-03T11:32:03.9623194Z"
"reports/stage4/DATASET_STRUCTURE_VALIDATION.md","KEEP_TRACKED","2361","17797EA2C2C7D622BD550B6DCAC978242637BD62A4ABA4429D5A83E6C2F4A6CC","True","2026-08-03T11:49:26.2475831Z"
"reports/stage4/metadata_profiles.json","KEEP_TRACKED","21111","D9F0F9EBF2F6334333C5F3FAAA4970362D01FB3B7EA255CF97EE3DCBCB0D6265","True","2026-08-03T11:49:26.2475831Z"
"reports/stage4/structure_summary.json","KEEP_TRACKED","28695","C314DF9F3A9CFBE60DFC562FF6C5646DFBAC74E9AA003BA8486660A39A5F21BF","True","2026-08-03T11:49:26.2475831Z"
"reports/stage4_1/IDENTITY_MAPPING_DISCOVERY.md","KEEP_TRACKED","2091","9A0E1F78A9AE9C8CCB1704D76ACCFEEDF708818E634211B39BB63C0250985623","True","2026-08-03T12:02:51.4225568Z"
"reports/stage4_1/identity_mapping_summary.json","KEEP_TRACKED","49380","00344166568E45E16FAB9E6C5314F436D89C2506E9178797225C51058C1CAAA6","True","2026-08-03T12:02:51.4225568Z"
"reports/stage4_2/ADAPTER_SPLIT_REPORT.md","KEEP_TRACKED","1975","0DEECA8F5219289E19DDDDA006FA06CD5FC26919D757F819E834926B7E707C5E","True","2026-08-03T13:10:56.3886019Z"
"reports/stage4_2/adapter_split_summary.json","KEEP_TRACKED","15088","0CCA27C4E2FA04252CC5FF1AC3E72ED481E3186302076AE4D0F69E21356E95BB","True","2026-08-03T13:10:56.3886019Z"
"reports/stage4_3/RESOLUTION_REPORT.md","KEEP_TRACKED","1825","BB9B86FAE2B056D38C744165074A7A47B4A74F106F0CCC0B08672A87C828B658","True","2026-08-03T13:43:17.2327989Z"
"reports/stage4_3/resolution_summary.json","KEEP_TRACKED","4106","B6CF77B303D739B71CAA53146693E9CA9C7C6F5980309FFA69ACF69D75007811","True","2026-08-03T13:43:17.2170941Z"
"reports/stage4_4/data_readiness_summary.json","KEEP_TRACKED","4159","4313C85EF85425536B75DB2B7D2C68E3707FE0593BB8E63F6EB9CDE1880A7AD0","True","2026-08-03T14:35:32.3444669Z"
"reports/stage4_4/FINAL_DATA_READINESS.md","KEEP_TRACKED","2309","8585EFE65C02F858DFD1E052C6B12E7F4789049DC6A3367FD88EF55913975727","True","2026-08-03T14:35:32.3444669Z"
"reports/stage4_4/training_sequence.csv","KEEP_TRACKED","579","8288956B7A8272485C939A87B2376BDA56F25C29118CB78C4846F864CAA99A4B","True","2026-08-03T14:35:32.3464700Z"
"reports/stage5/stage5_summary.json","KEEP_TRACKED","13994","C6F2A4A766794B628E68128EDE94D09120A297AD96AC0EE353C594532571CB4B","True","2026-08-03T16:52:42.6583292Z"
"reports/stage5/STAGE5_TRAINING_REPORT.md","KEEP_TRACKED","746","59E97A562EBE1987D671C3D6ED461076574227C30E73C42545A86E22CCD99D8D","True","2026-08-03T16:52:42.6583292Z"
"reports/stage6/stage6_history.csv","KEEP_TRACKED","19901","860486EDD5920EBFC79407FDE681FF3EBC7E6BEFB7712CD2A0E71F8B02D708F7","True","2026-08-04T09:37:43.5664735Z"
"reports/stage6/stage6_summary.json","KEEP_TRACKED","13727","34669DF451EE3DF4CB74CFA3F8B21035718C333272A5221B8497830C53A21D36","True","2026-08-04T11:36:05.4661373Z"
"reports/stage6/stage6_thresholds.json","KEEP_TRACKED","686","3EDA1AD3CA1C9A93B0924906F0A2F6D7FB0D0BF96450C2DF179F4CBB09C1B99F","True","2026-08-04T11:36:05.4761645Z"
"reports/stage6/STAGE6_TRAINING_REPORT.md","KEEP_TRACKED","690","3BAA108ABA3FD9455915A24D786396BA41CB224D77DD4EE9D916F4D8E9D130C2","True","2026-08-04T11:36:05.4761645Z"
"reports/stage7/stage7b_manifest.json","KEEP_TRACKED","47957","CCCEC087E0D5AE83F8B5D1B5DEB021CB8C38A56E24AA290E51358EE77DCB8FF6","True","2026-08-04T15:40:09.7402451Z"
"reports/stage7/STAGE7B_RAD_DINO_CLS_REPORT.md","KEEP_TRACKED","1526","DA6E52E51942E4DEF7DF0A7ADAECE32F44B621CB92B6B00AEC6C16AF3B1F51E6","True","2026-08-04T15:40:09.7610108Z"
"reports/stage7/stage7b_summary.json","KEEP_TRACKED","53266","3D67E64BD22549DDABC207FBCCD45534C3471F868D961E10EA9A14B26A032973","True","2026-08-04T15:40:09.7610108Z"
"reports/stage7/stage7c_comparison.json","KEEP_TRACKED","4854","E859BBF9CE90E85A362B92BF57CE568CD6D2E2F4A10016AA9965CAF995A5314F","True","2026-08-04T16:07:36.5149034Z"
"reports/stage7/stage7c_history.csv","KEEP_TRACKED","7337","D4EC8620E3C00C9455578C37BF429CF9D2BA8287C27A81FC61EF5D0208EBF028","True","2026-08-04T16:07:36.4992343Z"
"reports/stage7/STAGE7C_PROBE_TRAINING_REPORT.md","KEEP_TRACKED","1220","AD8E048BCCA86BD31CDDD38E1B0365826CD508317982418DA06CDCE4E61168AA","True","2026-08-04T16:07:36.5149034Z"
"reports/stage7/stage7c_summary.json","KEEP_TRACKED","27497","F2EBE3AB8C1196FA8CAD8E7536A07BF8CDE5ED066E4931D218C79C5718468957","True","2026-08-04T16:07:36.4992343Z"
"reports/stage7/stage7c_thresholds.json","KEEP_TRACKED","739","9E686D5077753F1BE0D2374EB5BCC68E31DAE8392A5EAF6DC26CE9CB1FFF8176","True","2026-08-04T16:07:36.5149034Z"
"reports/stage7/stage7d_bootstrap_intervals.csv","KEEP_TRACKED","13857","8DB38C6CAEB814C40B640F8CD97D22F3AD1594D293275961814B6CDD6987A3AF","True","2026-08-04T20:03:26.2622611Z"
"reports/stage7/stage7d_comparison_summary.json","KEEP_TRACKED","19788","60244B02CAF1C4734047AECCE314616D1D2C2F3B539CFE47CA59E8A21AE6932D","True","2026-08-04T20:03:26.7569342Z"
"reports/stage7/stage7d_efficiency_comparison.json","KEEP_TRACKED","1108","ABD64DC1376C7BF6E236E840FB87FEB4D2364146D0EF4C7741956213061BC388","True","2026-08-04T20:03:26.2622611Z"
"reports/stage7/STAGE7D_MODEL_COMPARISON_REPORT.md","KEEP_TRACKED","2116","68CA28F26599DA192157EF11D405E60C7380CAEC7D0A36EDB37EC38C61297133","True","2026-08-04T20:03:26.7663273Z"
"reports/stage7/stage7d_per_label_metrics.csv","KEEP_TRACKED","9727","31862A2186A220A85BD67B81E0D3C7FC06C8ED3B1AAD678DF288B2E67EFCC65C","True","2026-08-04T20:03:26.2622611Z"
"reports/stage7/stage7e_image_metrics.csv","KEEP_TRACKED","11334","EA1D3DDD1F3B2F22F4689D2A7DA8F39899C7BF16CFCD64A1D9F87A2C2599FF11","True","2026-08-04T20:16:43.7622798Z"
"reports/stage7/stage7e_label_summary.csv","KEEP_TRACKED","6015","867A976CDB90F422FEE10750C1E097B8E1B36DEC04610EA11057554CB5FF9C2A","True","2026-08-04T20:16:43.7622798Z"
"reports/stage7/stage7e_manifest.json","KEEP_TRACKED","1849","8B6366DF5D6DB720E5518A56ECB17297B724F3365A913E84132CBD679672CFFE","True","2026-08-04T20:16:43.7622798Z"
"reports/stage7/STAGE7E_PATCH_TOKEN_AUDIT_REPORT.md","KEEP_TRACKED","1486","5F8263D97690C539903C5E7512AD5A732FAF98418CFE9E709EF83C1BED006731","True","2026-08-04T20:16:43.7782985Z"
"reports/stage7/stage7e_summary.json","KEEP_TRACKED","3914","2394044F38829A09F581E038DDCA213605A829AE022B84C6AFC72189D7004D8D","True","2026-08-04T20:16:43.7782985Z"
"reports/stage8/STAGE8A_SEGMENTATION_READINESS_REPORT.md","KEEP_TRACKED","1550","4975E761DDBF5B903B6370CE4C5B0B2E0319C3E51BEEA0229D02E867A79344F3","True","2026-08-04T20:42:29.4066268Z"
"reports/stage8/stage8a_summary.json","KEEP_TRACKED","2012","E3E9D305E07F8A32C10AEB9F8DFEB5F5E672CC082ED9B19EF53A17186E1A5516","True","2026-08-04T20:42:29.4066268Z"
"reports/stage8/stage8b_history.csv","KEEP_TRACKED","6509","5D0A49DC218EB94F1970EF8E74A0093F926ACFD5C6D425EF6E8B79C8DF58CF22","True","2026-08-05T01:30:02.6641163Z"
"reports/stage8/stage8b_per_organ_metrics.csv","KEEP_TRACKED","382","E71F6BD6846640242758F96FC965CD241DD2E6D6BB683BC10BF4AA755054A80D","True","2026-08-05T01:30:02.6641163Z"
"reports/stage8/stage8b_summary.json","KEEP_TRACKED","3161","0491D0C7E4CD5B84986C14AC850BF694AAC2AC23228CE0E5E88302248385DA87","True","2026-08-05T01:30:02.6537988Z"
"reports/stage8/stage8b_thresholds.json","KEEP_TRACKED","61","23B1CA23BF13F78C342701EA7F8A56A4259667D059C3B8D9425BFA89B1CF4BCB","True","2026-08-05T01:30:02.6641163Z"
"reports/stage8/STAGE8B_UNET_BASELINE_REPORT.md","KEEP_TRACKED","887","CC5AF65C89EB70748F8C11D5C8846BADA6387D33507CFA54EE2ACAB935B78378","True","2026-08-05T01:30:02.6641163Z"
"reports/stage8/STAGE8C_COVERAGE_CONTINUATION_REPORT.md","KEEP_TRACKED","618","3F3FB238D76EA5744505F71C4BA56487FF6D3880DC16E6ED56312A4B0252A9C2","True","2026-08-05T10:35:59.1988441Z"
"reports/stage8/stage8c_coverage_summary.csv","KEEP_TRACKED","2088","4C8FF7C86FEBEF1455335366E4DD15E5ED7893A43348194C6AA6A0AE3B62337D","True","2026-08-05T10:35:59.1885674Z"
"reports/stage8/stage8c_history.csv","KEEP_TRACKED","6081","A41BE015FF93B106B5161858AE32DF6E916D60718D55DE36F46B89B76C5F9DB4","True","2026-08-05T10:35:59.1885674Z"
"reports/stage8/stage8c_summary.json","KEEP_TRACKED","2208","64BBE1117534775BE633749097F92CCAE648636C15743CF21EBC76B0F388413D","True","2026-08-05T10:35:59.1885674Z"
"reports/stage8/stage8c_thresholds.json","KEEP_TRACKED","61","52DAB314C34D2F079203A13ECEB54BFB5FE3C8A88E2FAEA878746A76B49C0B42","True","2026-08-05T10:35:59.1885674Z"
"reports/stage8/stage8d_bootstrap_intervals.csv","KEEP_TRACKED","722","67DD7650E89F870FEF66B3A9989A12326C9AE892F2A9D4DBBB6622E8B6A9A4A5","True","2026-08-05T11:16:21.3831101Z"
"reports/stage8/stage8d_efficiency_comparison.json","KEEP_TRACKED","632","93D3FD2F09BB548328147D614238CD090A5EADDEE65EA1655DDC9823ECB9D1E5","True","2026-08-05T11:16:21.3831101Z"
